"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005005102537390","https://ae04.alicdn.com/kf/S5a097450d7ab4906a931b012b7047e613.jpg",,"8-13PCS Makeup Brushes Set Soft Fluffy for Beauty Cosmetics Foundation Blush Powder Eyeshadow Kabuki Blending Makeup Brush Tool","USD 8.58","USD 4.03","53%","USD","7","USD 0.28","37","100.0%","https://s.click.aliexpress.com/e/_Dku7OIf",,,,,,
"1005001867300234","https://ae04.alicdn.com/kf/H533a9ba65018499a970d608042d53ce5G.jpg",,"Acrylic Pen Holder Display Stand Clear Makeup Brush Rack Organizer Holder for   Eyebrow Fountain Pen Rack Display","USD 12.28","USD 8.35","32%","USD","7","USD 0.58","21","100.0%","https://s.click.aliexpress.com/e/_Dneb2np",,,,,,
"1005003429573360","https://ae04.alicdn.com/kf/H52505a4fd4724d48b633341f2332c441D.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/339051182736.mp4","13pcs Professional Makeup Brush Set Beauty Powder  Super Soft Blush Brush Foundation Concealer Beauty Make Up Brush Cosmetic","USD 2.03","USD 1.42","30%","USD","7","USD 0.10","54","95.0%","https://s.click.aliexpress.com/e/_DD6PRx5",,,,,,
"32214176718","https://ae04.alicdn.com/kf/Af735b7f76405465b83fbfbc44903bbb0E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/312845614134.mp4","Jessup Pro Makeup Brushes Set 15pcs Cosmetic Make up Powder Foundation Eyeshadow Eyeliner Lip Black T092","USD 19.58","USD 16.25","17%","USD","8.5","USD 1.38","104","100.0%","https://s.click.aliexpress.com/e/_DmVZ4jh",,,,,,
"1005003506491805","https://ae04.alicdn.com/kf/Sd8f85338dfcd4723bfde4909b5d11ef0E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/342757047698.mp4","Houndstooth Makeup Cosmetic Bag For Women Cotton Plaid Cosmetics Organizer Large Toilet Kit Beauty Make Up Brushes Storage Case","USD 8.89","USD 7.20","19%","USD","8.0","USD 0.58","165","100.0%","https://s.click.aliexpress.com/e/_De8dgx1",,,,,,
"1005002804384952","https://ae04.alicdn.com/kf/A3b979d2bd4cf43338c106b1f75bd0561j.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/316836135734.mp4","Docolor Dreaming Makeup brushes set 17pcs Professional Synthetic Hair Powder Foundation Blush Eyeshadow Make Up Brush Maquiagem","USD 53.98","USD 24.29","55%","USD","10.0","USD 2.43","307","97.9%","https://s.click.aliexpress.com/e/_DCMLKkF",,,,,,
"1005004334413579","https://ae04.alicdn.com/kf/S2c03d8395435436bb0e80a64bf7d650fL.jpg",,"1/2/3/5/10PCS Multifunctional Makeup Brush Loose Powder Brush Blush Brush Contour Brush Soft Makeup Tools","USD 4.80","USD 2.98","38%","USD","7","USD 0.21","25","80.0%","https://s.click.aliexpress.com/e/_DC7V8G3",,,,,,
"1005004144794148","https://ae04.alicdn.com/kf/S78089cbf33b9426392778a67f7b8d8077.jpg",,"Black Makeup Brushes Set Eye Face Cosmetic Foundation Powder Blush Kabuki Blending Professional Make Up Brush Beauty Tool","USD 0.89","USD 0.41","54%","USD","7","USD 0.03","30","100.0%","https://s.click.aliexpress.com/e/_Dn3UNr9",,,,,,
"32693838354","https://ae04.alicdn.com/kf/Sc87e543928da4ef0abbf046a5b46c737h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/224301459314.mp4","DUcare makeup brushes full set with holder 8Pc Professional Makeup Brush Set Germany BASF Fiber Hair Foundation Eyeshadows Brush","USD 27.00","USD 15.93","41%","USD","10.0","USD 1.59","24","100.0%","https://s.click.aliexpress.com/e/_DFLtmqn",,,,,,
"32797614023","https://ae04.alicdn.com/kf/HTB1XqnTXXzsK1Rjy1Xbq6xOaFXar.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/297008916857.mp4","Jessup 6pcs Pearl White/Silver Professional Makeup Brushes Sets Make up Brush Beauty Tools Buffer Paint Cheek Highlight Powder","USD 14.74","USD 12.53","15%","USD","8.0","USD 1.00","24","100.0%","https://s.click.aliexpress.com/e/_DC6ahNZ",,,,,,
