"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005003748642055","https://ae04.alicdn.com/kf/See68c49b821044ef8061622dfbf1deb1F.jpg",,"Women's Cosmetic Bag Transparent  Travel Accessories Makeup Zipper Bag Waterproof for Girl Student PVC Brush Pencil Case Pouch","USD 4.56","USD 2.96","35%","USD","7","USD 0.21","358","97.5%","https://s.click.aliexpress.com/e/_Dli07bN",,,,,,
"1005003445776139","https://ae04.alicdn.com/kf/H529d8821bfc74076a3b3271fa2dad542J.jpg",,"New 1Pcs Facial Mask Brush Face Eyes Makeup Cosmetic Beauty Soft Concealer Brush Women Skin Face Care For Girl Cosmetic Tools","USD 0.44","USD 0.44","0%","USD","7","USD 0.03","26","100.0%","https://s.click.aliexpress.com/e/_DdW57Cn",,,,,,
"1005004535532927","https://ae04.alicdn.com/kf/Sa3c499e861d348c1896fe62d1c9abc3bd.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100086593060.mp4","Portable Makeup Brush Organizer Eyebrow Pencil Boxes Women'S Cosmetic Bag Transparent With Cover Storage Organizer Makeup Tools","USD 4.35","USD 2.39","45%","USD","10.0","USD 0.24","228","98.3%","https://s.click.aliexpress.com/e/_DEs2qk3",,,,,,
"1005003594835789","https://ae04.alicdn.com/kf/S0981e3bf5f4f4178b1479e77ffb0f63eW.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/351217643595.mp4","1pcs Beauty Double Sided Edge Control Hair Comb Hair Styling Hair coloring Eyebrow Comb brush Dual use Makeup Brush Beauty","USD 3.13","USD 2.19","30%","USD","8.0","USD 0.18","63","80.0%","https://s.click.aliexpress.com/e/_DmAzwv5",,,,,,
"1005004909678142","https://ae04.alicdn.com/kf/Sbd74bfbb3aed448c9f2ecb78cc50e01eP.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100096796294.mp4","1PC Foundation Makeup Brush Coffee Handle Professional Facial Powder Eyeshadow Blush Eyebrow Lip Brush Large Soft Cosmetic Brush","USD 1.29","USD 0.64","50%","USD","7","USD 0.04","48","100.0%","https://s.click.aliexpress.com/e/_DBman8f",,,,,,
"32685525013","https://ae04.alicdn.com/kf/Hf0bde8f167c74ee0ab2974d47ebde5e19.jpg",,"1pc Super Soft Powder Make up brushes Foundation Blusher makeup brush Shadow blending contour Professional High quality bamboo","USD 2.50","USD 1.87","25%","USD","7","USD 0.13","53","86.7%","https://s.click.aliexpress.com/e/_DeihFr9",,,,,,
"32845503230","https://ae04.alicdn.com/kf/HTB1NtMigLDH8KJjy1Xcq6ApdXXaN.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/243843052081.mp4","Flat Round Portable Makeup Brush O Shape Seal Stamp Foundation Powder Blush Liquid Large Foundation Brush Cream Powder Make Up","USD 5.68","USD 3.12","45%","USD","7","USD 0.22","26","100.0%","https://s.click.aliexpress.com/e/_DegjPDh",,,,,,
"1005004981409225","https://ae04.alicdn.com/kf/S4fda220cac9b4fc6a5f7f8af8e6813691.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100102444070.mp4","5pcs/set Harry Potter Horcrux Magic Wand Brushes Set Blush Eyeshadow Eyebrow Highlighter Brushes With Bag","USD 3.62","USD 2.89","20%","USD","7","USD 0.20","40","100.0%","https://s.click.aliexpress.com/e/_DB4hGpz",,,,,,
"33025582930","https://ae04.alicdn.com/kf/HTB1bC1qaaWs3KVjSZFxq6yWUXXaW.jpg",,"9pcs/Set Makeup brushes Set Foundation Blusher Bronzer sculpting Highlighter Eye shadow eyebrow Make up brush cosmetic beauty","USD 19.90","USD 15.52","22%","USD","7","USD 1.09","31","100.0%","https://s.click.aliexpress.com/e/_DmM0ND1",,,,,,
"1005004692859581","https://ae04.alicdn.com/kf/S1a7273e152504d42b9b31333e6fe5abaI.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100084443149.mp4","Powder Brush Foundation Stippling Blush Rush Classic Red Body Curve Plastic Long Handle Makeup Brush Contour Highlighter Brush","USD 12.38","USD 6.19","50%","USD","9.0","USD 0.56","52","97.1%","https://s.click.aliexpress.com/e/_DmukU99",,,,,,
